tree num\max depth,10,20,30,40,50,60,70,80,90,100
10,0.69343,0.8313,0.96169,0.98156,0.98288,0.98184,0.98229,0.98176,0.98168,0.98133
20,0.68026,0.83829,0.97337,0.99429,0.99496,0.995,0.9952,0.99482,0.99498,0.99458
30,0.6855,0.84366,0.97948,0.99788,0.99809,0.99793,0.99797,0.99769,0.99804,0.99823
40,0.67311,0.84452,0.98372,0.99883,0.99906,0.99903,0.99906,0.99904,0.99903,0.99917
50,0.65983,0.8448,0.98434,0.99953,0.99945,0.99951,0.99946,0.99959,0.99973,0.99956
60,0.6777,0.84727,0.98484,0.99958,0.99976,0.99975,0.99967,0.9998,0.99973,0.99973
70,0.68383,0.84683,0.98295,0.99977,0.99988,0.99988,0.99987,0.99981,0.99987,0.99986
80,0.67234,0.84704,0.98466,0.99987,0.99991,0.99983,0.99995,0.99995,0.99985,0.99991
90,0.66535,0.84661,0.98586,0.99992,0.99997,0.99993,0.99997,0.99993,0.99993,0.99997
100,0.67683,0.8461,0.98663,0.99995,1,0.99995,0.99999,0.99998,0.99998,0.99993
